Title,Status,Priority,Estimate,Labels,Description,Parent
Foundation (Identity + Accounts + Ledger),Done,Urgent,,Epic;phase-A,"Phase A. The substrate every other capability stands on. Ledger is source of truth for all balances; identity resolves any registered identifier to canonical user_id; accounts hold money or points per user per tenant.",
User registration with multi-identifier support,Done,High,2,phase-A;backend;identity,"POST /api/v1/identity/users with one or more tenant-scoped identifiers. Duplicate identifier in same tenant -> 409 identifier_already_in_use. Same identifier across different tenants allowed. PRD: Pay-PRD-0010, 0050, 0070",Foundation (Identity + Accounts + Ledger)
Identifier resolution endpoint,Done,High,1,phase-A;backend;identity,"GET /api/v1/identity/resolve/{type}/{value}?tenant_id=... returns user_id. Cross-tenant lookup returns 404 (no leak). PRD: Pay-PRD-0060. NFR: 0220",Foundation (Identity + Accounts + Ledger)
Account model with 5 types,Done,High,2,phase-A;backend;accounts,"financial_wallet, points_account, system_points_issuance, provider_redemption_wallet, system_cash_inflow. POST /accounts, GET /{id}/balance. PRD: Pay-PRD-0110-0140",Foundation (Identity + Accounts + Ledger)
Internal ledger service with double-entry invariants,Done,Urgent,3,phase-A;backend;ledger,"All writes through post_transaction. >=2 entries balanced to zero. Idempotency keyed per tenant. PRD: Pay-PRD-0170, 0180, 0200. NFR: 0100",Foundation (Identity + Accounts + Ledger)
Append-only ledger structural guarantee,Done,Urgent,1,phase-A;backend;ledger,"ledger_entries has no updated_at column. Invariant test asserts column does not exist. System-wide sum-to-zero invariant test runs every session. PRD: Pay-PRD-0170. NFR: 0100",Foundation (Identity + Accounts + Ledger)
Seed script + 2 test users + system_points_issuance,Done,Medium,1,phase-A;scripts,"Idempotent seed: Sasai-ZA tenant, Alice/Bob with phones, financial_wallets, points_accounts, master system_points_issuance.",Foundation (Identity + Accounts + Ledger)
P2P Transfer,Done,Urgent,,Epic;phase-B,"Phase B. User-to-user transfer of wallet funds. First feature that moves money between users.",
POST /payments/p2p with overdraft prevention,Done,Urgent,3,phase-B;backend;payments,"Idempotency-Key header required. Recipient resolved by identifier. Self-transfer -> 422. Insufficient funds -> 409. Balanced two-leg ledger transaction. PRD: Pay-PRD-0250, 0220, 0200, 0060",P2P Transfer
Concurrent double-spend protection via SELECT FOR UPDATE,Done,Urgent,2,phase-B;backend;payments;security,"Sender wallet row locked during balance derive. Test proves exactly one of two concurrent full-balance transfers succeeds. PRD: Pay-PRD-0220. NFR: 0100",P2P Transfer
Internal top_up service + opening balances,Done,Medium,1,phase-B;backend;payments,"top_up() debits system_cash_inflow, credits user wallet. Auto-creates system_cash_inflow per (tenant, currency). Seed gives Alice R1000, Bob R500 with per-user idempotency keys.",P2P Transfer
Kafka Rewards Inflow,Done,Urgent,,Epic;phase-C,"Phase C. External Kafka events drive rules evaluation; matching rules credit user points accounts.",
External event source registration,Done,High,2,phase-C;backend;events,"POST /events/sources. source_key globally unique. Optional shared_secret for HMAC. PRD: Pay-PRD-0495, 0510",Kafka Rewards Inflow
Event ingestion with dedup + tenant scoping,Done,Urgent,3,phase-C;backend;events,"POST /events/external. Unregistered source -> REJECTED log. Duplicate (source_key, event_id) -> DUPLICATE log. Tenant mismatch rejected. PRD: Pay-PRD-0490, 0495, 0500, 0520",Kafka Rewards Inflow
Rules engine: first_time + milestone,Done,High,3,phase-C;backend;rules-engine,"Two of seven rule types. first_time fires once per user. milestone counts qualifying events, fires at threshold, resets. Source-agnostic. PRD: Pay-PRD-0530-0617, 0570, 0580",Kafka Rewards Inflow
Reward issuance with double-issuance protection,Done,Urgent,2,phase-C;backend;rewards,"Writes reward_events row + balanced ledger transaction. UNIQUE INDEX on (user_id, rule_id, triggering_event_id) is structural guarantee. Relies on integrity error, no check-then-insert. PRD: Pay-PRD-0620. NFR: 0110",Kafka Rewards Inflow
Rule CRUD admin endpoints,Done,Medium,2,phase-C;backend;rules-engine,"POST /rules with rule_type-specific validation. GET /rules tenant-scoped. PRD: Pay-PRD-0530-0617 CRUD slice",Kafka Rewards Inflow
