Title,Status,Priority,Estimate,Labels,Description,Parent
Epic 12 — User Type Foundation,Backlog,High,,Epic;user-types,"Make user_type a first-class dimension on users and build the shared plumbing Epics 13-17 depend on. Enum + parent_user_id, identity schemas, PATCH type endpoint, lifecycle events, PRD update. Decisions D1 (merchants-as-users) and D4 (store parent now, defer commission). Spec: docs/superpowers/specs/2026-07-03-user-types-design.md",
user_type enum + column migration + backfill,Backlog,High,2,user-types;data;identity,"PG enum user_type (consumer, agent, super_agent, merchant, head_merchant). users.user_type NOT NULL default consumer; migration backfills existing rows to consumer; index (tenant_id, user_type). Migration test asserts backfill and enum/constraint integrity. PRD: Pay-PRD-0010, 0080",Epic 12 — User Type Foundation
parent_user_id self-FK + hierarchy validation,Backlog,High,2,user-types;data;backend,"Nullable parent_user_id self-FK. Service validates agent -> super_agent, merchant -> head_merchant, same tenant; consumer/super_agent/head_merchant must have null parent. Invalid pairing -> 422 user_type_invalid_parent. Tests cover each pairing.",Epic 12 — User Type Foundation
Expose user_type + parent in identity schemas & detail,Backlog,High,1,user-types;backend;identity,"Add user_type and parent_user_id to user create/detail Pydantic schemas and GET /users/{id}. Backwards compatible (defaults consumer). API test asserts round-trip.",Epic 12 — User Type Foundation
PATCH /users/{id}/type with audit + idempotency,Backlog,High,3,user-types;backend;identity,"platform-admin only. Body {new_type, parent_user_id?, reason}; reason mandatory; Idempotency-Key honoured. Validations: parent compatibility; leaving a merchant type blocked while any merchant_collection balance != 0 -> user_type_transition_blocked; entering a merchant type requires merchant profile. Audit log before/after + reason. Emits user.type_changed post-commit. Tests: happy, 401, 403, 422, tenant isolation, idempotency replay.",Epic 12 — User Type Foundation
wallet.users.lifecycle topic + user.created/type_changed events,Backlog,Medium,2,user-types;events;platform,"Add topic to config.Topics and kafka/topics.sh (partitions 3, key user_id). Emit user.created and user.type_changed after DB commit; consumer idempotent via event_ingestion_log. Tests: emit-after-commit, partition key user_id, schema. NFR-0130.",Epic 12 — User Type Foundation
PRD Module 1 + glossary update for user types,Backlog,Medium,1,user-types;docs,"Document the 5 user types, hierarchy, and type-change flow in docs/02-prd.md Module 1 + glossary (section 3). Add Pay-PRD IDs for user types and cross-refs from Modules 5 (limits) and 6 (pricing).",Epic 12 — User Type Foundation
Epic 13 — Admin User Creation & Type Management,Backlog,High,,Epic;user-types,"Admin can create users (email or phone) with a user_type and change a user's type from the admin portal. Enables the disabled Phase G Register user button. Backend hardening + admin-ui dialogs following the limits-page pattern.",
"Harden POST /users: email-or-phone, user_type, parent, merchant profile",Backlog,High,3,user-types;backend;identity,"Extend admin create endpoint: at least one identifier (email or phone) required -> else identifier_required; accept user_type (default consumer), parent_user_id, and merchant profile payload when type is merchant/head_merchant. Idempotency-Key honoured; audit logged. Tests: happy (email-only, phone-only, both), 422 no-identifier, tenant isolation, idempotency.",Epic 13 — Admin User Creation & Type Management
Admin create-user dialog,Backlog,High,3,user-types;admin-ui,"Create-user dialog on the Users page (enables the disabled Register user button). Identifier type toggle (email/phone), profile fields, user_type selector, parent picker shown for agent/merchant types, merchant-profile fields for merchant types. Server action returns {ok} | {ok:false, errorCode, message} + revalidatePath. Follows limits CreateLimitDialog pattern.",Epic 13 — Admin User Creation & Type Management
Change-type action + confirm/reason modal on user detail,Backlog,High,2,user-types;admin-ui,"Change type action on the user detail card: confirm modal requiring a reason, calls PATCH /users/{id}/type. Hidden below platform-admin. Shows/links parent when set. Surfaces user_type_transition_blocked and invalid-parent errors.",Epic 13 — Admin User Creation & Type Management
User-type badge + filter on users list,Backlog,Medium,2,user-types;admin-ui,"user_type badge on user detail and lookup results; filter/segment users by type. Reuses StatusPill-style component.",Epic 13 — Admin User Creation & Type Management
Server actions + API client wiring for create/change-type,Backlog,Medium,2,user-types;admin-ui,"Add createUserAction and changeUserTypeAction server actions + typed API client functions and UserType TypeScript type mirroring the Pydantic enum. Wire into api-endpoints.ts / api-types.ts.",Epic 13 — Admin User Creation & Type Management
